,id,price,addressStreet,addressCity,addressZipcode,beds,baths,area,zestimate,latitude,longitude
138,136710454,345000.0,20161 Canyon View Dr,Santa Clarita,91351,3,2.0,1752,348800.0,34.431393,-118.48706
139,19980419,1695000.0,16820 McCormick St,Encino,91436,3,3.0,2254,1669500.0,34.16569,-118.49965
140,18019897,349900.0,401 S El Cielo Rd APT 147,Palm Springs,92262,2,2.0,1084,344200.0,33.818035,-116.51184
141,20608742,1850000.0,931 S Ogden Dr,Los Angeles,90036,3,2.0,2017,1861900.0,34.058655,-118.36175
142,16926062,1299000.0,4407 Dakota Dr,San Diego,92117,4,1.0,1200,1280100.0,32.801952,-117.20047
143,325863428,1250000.0,125 Allusion,Irvine,92618,3,4.0,1724,1245300.0,33.693913,-117.73392
144,18859585,260000.0,656 Gilmour St,Brawley,92227,2,1.0,1157,,32.97166,-115.53801
145,18854260,339850.0,1027 Rose Ave,El Centro,92243,3,1.0,1466,,32.802113,-115.56414
146,61498136,1195000.0,10637 N Lochmoor Ln,Fresno,93730,5,3.0,3374,1154700.0,36.890785,-119.75822
147,60281360,2448000.0,2946 Crystal Ridge Rd,Encinitas,92024,5,5.0,3897,2414000.0,33.05553,-117.22629
148,15908925,1100000.0,5114 Calle Real #A,Santa Barbara,93111,2,2.0,1476,963700.0,34.44237,-119.80086
149,18458321,1698000.0,320 McCloud Pl,Danville,94526,3,2.0,1803,1651400.0,37.80059,-121.97181
150,25639450,1175000.0,27436 Sereno,Mission Viejo,92691,4,2.0,1472,1168400.0,33.64405,-117.65237
151,295488324,829000.0,147 Jaripol Cir,Mission Viejo,92694,2,3.0,1404,,33.54553,-117.59521
152,451406628,420000.0,15637-15637 Lasselle St #99,Moreno Valley,92551,3,3.0,1599,423000.0,33.882652,-117.20707
153,145543117,899999.0,5365 Pine Leaf Ave,Fontana,92336,4,3.0,3201,,34.156006,-117.44768
154,18070996,859000.0,169 Lake Shore Dr,Rancho Mirage,92270,3,3.0,2417,842800.0,33.75741,-116.39661
155,18942501,329500.0,2212 Bradford St,Bakersfield,93304,3,2.0,1246,328600.0,35.349686,-119.02732
156,18911503,165000.0,417 Argus Ave,Ridgecrest,93555,3,2.0,1017,162200.0,35.625988,-117.67734
157,48188583,8995000.0,910 Balboa Ave,Coronado,92118,5,7.0,4246,8625200.0,32.69193,-117.190865
158,19752413,3599000.0,19960 Skyline Blvd,Los Gatos,95033,4,4.0,3717,3453300.0,37.179504,-122.02821
